1_INV_1_INTERNALTEMP;44;1510214333000
1_INV_1_AMBIENTTEMP;31;1510214333000
1_INV_1_SOLARPOTENTIAL;567;1510214333000
1_INV_1_WIND;0;1510214333000
1_INV_2_INTERNALTEMP;52;1510214333000
1_INV_2_AMBIENTTEMP;31;1510214333000
1_INV_2_SOLARPOTENTIAL;567;1510214333000
1_INV_2_WIND;0;1510214333000
1_INV_3_INTERNALTEMP;52;1510214333000
1_INV_3_AMBIENTTEMP;31;1510214333000
1_INV_3_SOLARPOTENTIAL;567;1510214333000
1_INV_3_WIND;0;1510214333000
1_INV_1_INTERNALTEMP;44;1510214333000
1_INV_1_AMBIENTTEMP;31;1510214333000
1_INV_1_SOLARPOTENTIAL;567;1510214333000
1_INV_1_WIND;0;1510214333000
1_INV_2_INTERNALTEMP;52;1510214333000
1_INV_2_AMBIENTTEMP;31;1510214333000
1_INV_2_SOLARPOTENTIAL;567;1510214333000
1_INV_2_WIND;0;1510214333000
1_INV_3_INTERNALTEMP;52;1510214333000
1_INV_3_AMBIENTTEMP;31;1510214333000
1_INV_3_SOLARPOTENTIAL;567;1510214333000
1_INV_3_WIND;0;1510214333000
1_INV_1_INTERNALTEMP;44;1510214333000
1_INV_1_AMBIENTTEMP;31;1510214333000
1_INV_1_SOLARPOTENTIAL;567;1510214333000
1_INV_1_WIND;0;1510214333000
1_INV_2_INTERNALTEMP;52;1510214333000
1_INV_2_AMBIENTTEMP;31;1510214333000
1_INV_2_SOLARPOTENTIAL;567;1510214333000
1_INV_2_WIND;0;1510214333000
1_INV_3_INTERNALTEMP;52;1510214333000
1_INV_3_AMBIENTTEMP;31;1510214333000
1_INV_3_SOLARPOTENTIAL;567;1510214333000
1_INV_3_WIND;0;1510214333000
1_INV_1_INTERNALTEMP;44;1510214353000
1_INV_1_AMBIENTTEMP;31;1510214353000
1_INV_1_SOLARPOTENTIAL;567;1510214353000
1_INV_1_WIND;0;1510214353000
1_INV_2_INTERNALTEMP;52;1510214353000
1_INV_2_AMBIENTTEMP;31;1510214353000
1_INV_2_SOLARPOTENTIAL;567;1510214353000
1_INV_2_WIND;0;1510214353000
1_INV_3_INTERNALTEMP;52;1510214353000
1_INV_3_AMBIENTTEMP;31;1510214353000
1_INV_3_SOLARPOTENTIAL;567;1510214353000
1_INV_3_WIND;0;1510214353000
1_INV_1_INTERNALTEMP;45;1510214043000
1_INV_1_INTERNALTEMP;46;1510214053000
1_INV_1_AMBIENTTEMP;32;1510214043000
1_INV_1_INTERNALTEMP;46;1510214063000
1_INV_1_SOLARPOTENTIAL;567;1510214043000
1_INV_1_AMBIENTTEMP;33;1510214063000
1_INV_1_INTERNALTEMP;46;1510214104000
1_INV_1_SOLARPOTENTIAL;567;1510214063000
