1_INV_1_DAY_ENERGY
1_INV_1_PAC
1_INV_1_TOTAL_ENERGY
1_INV_1_YEAR_ENERGY
1_INV_2_DAY_ENERGY
1_INV_2_PAC
1_INV_2_TOTAL_ENERGY
1_INV_2_YEAR_ENERGY
1_INV_3_DAY_ENERGY
1_INV_3_PAC
1_INV_3_TOTAL_ENERGY
1_INV_3_YEAR_ENERGY
