1_INV_1_POW
1_INV_1_VBAT
1_INV_1_SITEPOWER
1_INV_1_ENERGYDAY
1_INV_1_ENERGYYEAR
1_INV_1_ENERGYTOTAL
1_INV_1_ETGRID
1_INV_1_ETGEN
1_INV_1_ETSOLAR
1_INV_1_PSOLAR
1_INV_1_PGRID
1_INV_1_PGENSET
1_INV_1_TAMB
1_INV_1_IRRADIANCE
1_INV_1_TMODULE
1_INV_1_WINDSPEED
